Time,Temperature
00:00:02.000,25.05
00:10:02.000,25.71
00:20:02.000,24.36
00:30:02.000,24.14
00:40:02.000,25.08
00:50:02.000,25.18
01:00:02.000,25.04
01:10:02.000,25.05
01:20:02.000,25.05
01:30:02.000,25.03
01:40:02.000,25.07
01:50:02.000,25.11
02:00:02.000,25.08
02:10:02.000,25.04
02:20:02.000,24.99
02:30:02.000,25.05
02:40:02.000,24.93
02:50:02.000,25.04
03:00:02.000,25.04
03:10:02.000,25.04
03:20:02.000,25.01
03:30:02.000,25.01
03:40:02.000,24.96
03:50:02.000,24.94
04:00:02.000,24.90
04:10:02.000,25.05
04:20:02.000,25.12
04:30:02.000,25.08
04:40:02.000,24.94
04:50:02.000,25.06
05:00:02.000,25.03
05:10:02.000,24.97
05:20:02.000,24.97
05:30:02.000,25.01
05:40:02.000,25.00
05:50:02.000,24.98
06:00:02.000,25.02
06:10:02.000,24.99
06:20:02.000,24.99
06:30:02.000,25.02
06:40:02.000,24.98
06:50:02.000,24.9
07:00:02.000,25.01
07:10:02.000,24.91
07:20:02.000,25.04
07:30:02.000,24.92
07:40:02.000,24.87
07:50:02.000,24.88
08:00:02.000,24.87
08:10:02.000,25.02
08:20:02.000,25.06
08:30:02.000,25.04
08:40:02.000,25.00
08:50:02.000,24.96
09:00:02.000,25.05
09:10:02.000,25.08
09:20:02.000,25.03
09:30:02.000,24.92
09:40:02.000,24.96
09:50:02.000,25.04
10:00:02.000,24.96
10:10:02.000,24.99
10:20:02.000,24.98
10:30:02.000,25.03
10:40:02.000,25.01
10:50:02.000,25.06
11:00:02.000,24.98
11:10:02.000,25.07
11:20:02.000,25.02
11:30:02.000,25.03
11:40:02.000,24.96
11:50:02.000,24.92
12:00:02.000,24.90
12:10:02.000,24.88
12:20:02.000,24.89
12:30:02.000,24.91
12:40:02.000,24.94
12:50:02.000,24.91
13:00:02.000,24.96
13:10:02.000,25.02
13:20:02.000,24.92
13:30:02.000,24.96
13:40:02.000,24.98
13:50:02.000,25.04
14:00:02.000,25.07
14:10:02.000,25.03
14:20:02.000,25.03
14:30:02.000,24.96
14:40:02.000,25.00
14:50:02.000,25.91
15:00:02.000,24.91
15:10:02.000,25.02
15:20:02.000,25.02
15:30:02.000,25.04
15:40:02.000,25.06
15:50:02.000,24.94
16:00:02.000,25.01
16:10:02.000,24.95
16:20:02.000,25.00
